"","Date","Business Name","City","County","Address","Industry Type"
"1",2021-01-28,"ConAgra","Russellville","Pope","",""
"2",2021-01-28,"Dassault Falcon Jet LLC","Little Rock","Pulaski","",""
"3",2021-01-28,"Lockheed Martin","Camden","Ouachita","",""
"4",2021-01-28,"Tyson","Clarksville","Johnson","",""
"5",2021-01-28,"Tyson","Nashville","Howard","",""
"6",2021-01-25,"City of Camden","Camden","Ouachita","",""
"7",2021-01-25,"ConAgra","Russellville","Pope","",""
"8",2021-01-25,"Lennox Industries","Stuttgart","Arkansas","",""
"9",2021-01-25,"Lockheed Martin","Camden","Ouachita","",""
"10",2021-01-25,"Tyson","Hope","Hempstead","275 Hempstead 278",""
"11",2021-01-25,"Tyson","Springdale","Washington","Berry St.",""
"12",2021-01-25,"Tyson","Clarksville","Johnson","",""
"13",2021-01-25,"Tyson","Dardanelle","Yell","",""
"14",2021-01-25,"Tyson","Nashville","Howard","",""
"15",2021-01-21,"Aerojet Rocketdyne","Camden","Ouachita","",""
"16",2021-01-21,"Bell & Company","North Little Rock","Pulaski","",""
"17",2021-01-21,"ConAgra","Russellville","Pope","",""
"18",2021-01-21,"Tyson","Springdale","Washington","Berry St.",""
"19",2021-01-21,"Tyson","Berryville","Carroll","",""
"20",2021-01-21,"Tyson","Clarksville","Johnson","",""
"21",2021-01-21,"Tyson","Dardanelle","Yell","",""
"22",2021-01-18,"Bell & Company","North Little Rock","Pulaski","",""
"23",2021-01-18,"ConAgra","Russellville","Pope","",""
"24",2021-01-18,"ConAgra/Pinnacle Foods","Fayetteville","Washington","",""
"25",2021-01-18,"Gates Rubber Corportation","Jonesboro","Craighead","",""
"26",2021-01-18,"L'Oreal Manufacturing center","North Little Rock","Pulaski","",""
"27",2021-01-18,"Lockheed Martin","Camden","Ouachita","",""
"28",2021-01-18,"Twin Rivers Foods","Atkins","Pope","",""
"29",2021-01-18,"Tyson","Hope","Hempstead","275 Hempstead 278",""
"30",2021-01-18,"Tyson","Springdale","Washington","Berry St.",""
"31",2021-01-18,"Tyson","Berryville","Carroll","",""
"32",2021-01-18,"Tyson","Clarksville","Johnson","",""
"33",2021-01-18,"Tyson","Dardanelle","Yell","",""
"34",2021-01-18,"Tyson","Green Forest","Carroll","",""
"35",2021-01-18,"Tyson","Waldron","Scott","Plant St.",""
"36",2021-01-14,"Tyson","Waldron","Scott","Plant. St",""
"37",2021-01-14,"Twin Rivers Foods","Atkins","Pope","",""
"38",2021-01-14,"ConAgra","Russellville","Pope","",""
"39",2021-01-14,"Tyson","Van Buren","Crawford","",""
"40",2021-01-14,"Gates Rubber Corportation","Siloam Springs","Benton","",""
"41",2021-01-14,"Tyson","Dardanelle","Yell","",""
"42",2021-01-14,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"43",2021-01-14,"Tyson","Hope","Hempstead","275 Hempstead 278",""
"44",2021-01-14,"Tyson","Clarksville","Johnson","",""
"45",2021-01-14,"Tyson","Berryville","Carroll","",""
"46",2021-01-14,"Unilever","Jonesboro","Craighead","",""
"47",2021-01-14,"Hooters","North Little Rock","Pulaski","",""
"48",2021-01-11,"Tyson","Waldron","Scott","",""
"49",2021-01-11,"ConAgra","Russellville","Pope","",""
"50",2021-01-11,"Frito Lay","Jonesboro","Craighead","",""
"51",2021-01-11,"Gates Corportation","Siloam Springs","Benton","",""
"52",2021-01-11,"Twin Rivers Foods","Atkins","Pope","",""
"53",2021-01-11,"Tyson","Clarksville","Johnson","",""
"54",2021-01-11,"Tyson","Dardanelle","Yell","",""
"55",2021-01-11,"Centene Corporation","Little Rock","Pulaski","",""
"56",2021-01-11,"Clean Harbors Evnvironmental Services","El Dorado","Union","",""
"57",2021-01-11,"Pet Solutions","Danville","Yell","",""
"58",2021-01-11,"Unilever","Jonesboro","Craighead","",""
"59",2021-01-07,"ConAgra","Russellville","Pope","",""
"60",2021-01-07,"Frito Lay","Jonesboro","Craighead","",""
"61",2021-01-07,"Dillar's Corporate Headquarters","Little Rock","Pulaski","",""
"62",2021-01-07,"George's Poultry","Springdale","Washington","Kansas St.",""
"63",2021-01-07,"Centene Corporation","Little Rock","Pulaski","",""
"64",2021-01-07,"McKee Foods","Gentry","Benton","",""
"65",2021-01-07,"Tyson's Chick-N-Quick","Rogers","Benton","Olrich St.",""
"66",2021-01-07,"PotlatchDeltic","Ola","Yell","",""
"67",2021-01-07,"Unilever","Jonesboro","Craighead","",""
"68",2021-01-07,"ABB","Fort Smith","Sebastian","",""
"69",2021-01-07,"American Greetings Co.","Osceola","Mississippi","",""
"70",2021-01-04,"ConAgra","Russellville","Pope","",""
"71",2021-01-04,"Tyson's Chick-N-Quick","Rogers","Benton","Olrich St.",""
"72",2021-01-04,"McKee Foods","Gentry","Benton","",""
"73",2020-12-31,"ConAgra","Russellville","Pope","",""
"74",2020-12-31,"Tyson's Chick-N-Quick","Rogers","Benton","Olrich St.",""
"75",2020-12-31,"Tyson Corporate","Springdale","Washington","Don Tyson Pkwy",""
"76",2020-12-31,"Tyson","Springdale","Washington","Berry St.",""
"77",2020-12-31,"Tyson","Green Forest","Carroll","",""
"78",2020-12-31,"Tyson","Russellville","Pope","Tyler Rd.",""
"79",2020-12-28,"Tyson's Chick-N-Quick","Rogers","Benton","Olrich St.",""
"80",2020-12-28,"Shelby Group International Inc.","Glenwood","Pike","",""
"81",2020-12-28,"ConAgra","Russellville","Pope","",""
"82",2020-12-28,"Stephens Inc.","Little Rock","Pulaski","",""
"83",2020-12-24,"ConAgra","Russellville","Pope","",""
"84",2020-12-24,"Domtar Paper Co.","Ashdown","Little River","",""
"85",2020-12-24,"Roehm America/Evonik","Osceola","Mississippi","",""
"86",2020-12-24,"Tyson of Rogers","Rogers","Benton","Elm St.",""
"87",2020-12-24,"Wayne Farms","Danville","Yell","",""
"88",2020-12-24,"Tyson's Chick-N-Quick","Rogers","Bentons","Olrich St.",""
"89",2020-12-24,"Husqvarna","Nashville","Howard","",""
"90",2020-12-24,"Tyson","Russellville","Pope","Tyler Rd.",""
"91",2020-12-24,"Frito Lay","Jonesboro","Craighead","",""
"92",2020-12-24,"Nice Pak","Jonesboro","Craighead","",""
"93",2020-12-24,"Arkansas Nuclear One","Russellville","Pope","",""
"94",2020-12-24,"McKee Foods","Gentry","Benton","",""
"95",2020-12-24,"Peco","Pocahontas","Randolph","",""
"96",2020-12-24,"Shippers Products","Fordyce","Dallas","",""
"97",2020-12-24,"La-Z-Boy Furniture","Siloam Springs","Benton","",""
"98",2020-12-24,"Tyson","Green Forest","Carroll","",""
"99",2020-12-24,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"100",2020-12-24,"Tyson","Berryville","Carroll","",""
"101",2020-12-21,"ConAgra","Russellville","Pope","",""
"102",2020-12-21,"Frito Lay","Jonesboro","Craighead","",""
"103",2020-12-21,"Tyson","Berryville","Carroll","",""
"104",2020-12-21,"Domtar Paper Co.","Ashdown","Little River","",""
"105",2020-12-21,"Husqvarna","Nashville","Howard","",""
"106",2020-12-21,"Roehm America","Osceola","Mississippi","",""
"107",2020-12-21,"Twin Rivers Foods","Atkins","Pope","",""
"108",2020-12-21,"APAC-Central","Fayetteville","Washington","",""
"109",2020-12-21,"McKee Foods","Gentry","Benton","",""
"110",2020-12-21,"Tyson","Dardanelle","Yell","",""
"111",2020-12-17,"Frito Lay","Jonesboro","Craighead","",""
"112",2020-12-17,"ConAgra","Russellville","Pope","",""
"113",2020-12-17,"Tyson","Green Forest","Carroll","",""
"114",2020-12-17,"Tyson","Dardanelle","Yell","",""
"115",2020-12-17,"Tyson","Berryville","Carroll","",""
"116",2020-12-17,"Twin Rivers Foods","Fort Smith","Sebastian","",""
"117",2020-12-17,"Spirit Fitness","Jonesboro","Craighead","",""
"118",2020-12-17,"Tyson","Clarksville","Johnson","",""
"119",2020-12-17,"Husqvarna","Nashville","Howard","",""
"120",2020-12-17,"Unilever","Jonesboro","Craighead","",""
"121",2020-12-17,"Tyson","Russellville","Pope","Tyler Rd.",""
"122",2020-12-17,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"123",2020-12-17,"American Greetings Co.","Osceola","Mississippi","",""
"124",2020-12-17,"Nice Pak","Jonesboro","Craighead","",""
"125",2020-12-17,"APAC-Central","Fayetteville","Washington","",""
"126",2020-12-14,"Tyson","Green Forest","Carroll","",""
"127",2020-12-14,"ConAgra","Russellville","Pope","",""
"128",2020-12-14,"Tyson","Dardanelle","Yell","",""
"129",2020-12-14,"Tyson","Clarksville","Johnson","",""
"130",2020-12-14,"ABB","Fort Smith","Sebastian","",""
"131",2020-12-14,"Tyson","Waldron","Scott","Plant St.",""
"132",2020-12-14,"Spirit Fitness","Jonesboro","Craighead","",""
"133",2020-12-14,"Tyson's Mexican Original","Fayetteville","Washington","",""
"134",2020-12-14,"Frito Lay","Jonesboro","Craighead","",""
"135",2020-12-14,"WeatherBarr Windows & Doors","Fort Smith","Sebastian","",""
"136",2020-12-14,"Tyson","Russellville","Pope","Tyler Rd.",""
"137",2020-12-14,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"138",2020-12-14,"DENSO Manufacturing","Osceola","Mississippi","",""
"139",2020-12-14,"Simmons Foods","Siloam Springs","Benton","",""
"140",2020-12-14,"Tyson","Hope","Hempstead","275 Hempstead 278",""
"141",2020-12-14,"American Greetings Co.","Osceola","Mississippi","",""
"142",2020-12-14,"Tyson","Van Buren","Crawford","",""
"143",2020-12-14,"Wayne Farms","Danville","Yell","",""
"144",2020-12-14,"Peco","Pocahontas","Randolph","",""
"145",2020-12-14,"Husqvarna","Nashville","Howard","",""
"146",2020-12-14,"Utility Trailer Manufacturing Co.","Paragould","Greene","",""
"147",2020-12-14,"Dassault Falcon Jet LLC","Little Rock","Pulaski","",""
"148",2020-12-14,"Tyson Corporate","Springdale","Washington","Don Tyson Pkwy",""
"149",2020-12-14,"Duke Custom Cabinets Inc.","Roland","Pulaski","",""
"150",2020-12-10,"Tyson","Green Forest","Carroll","",""
"151",2020-12-10,"ConAgra","Russellville","Pope","",""
"152",2020-12-10,"Tyson","Clarksville","Johnson","",""
"153",2020-12-10,"ABB","Fort Smith","Sebastian","",""
"154",2020-12-10,"DENSO Manufacturing","Osceola","Mississippi","",""
"155",2020-12-10,"Quality Voices","Jonesboro","Craighead","",""
"156",2020-12-10,"Tyson","Dardanelle","Yell","",""
"157",2020-12-10,"Tyson's Mexican Original","Fayetteville","Washington","",""
"158",2020-12-10,"Peco","Pocahontas","Randolph","",""
"159",2020-12-10,"American Greetings Co.","Osceola","Mississippi","",""
"160",2020-12-10,"PotlatchDeltic","Warren","Bradley","",""
"161",2020-12-10,"Tyson","Waldron","Scott","Plant St.",""
"162",2020-12-07,"Tyson","Green Forest","Carroll","",""
"163",2020-12-07,"Tyson","Waldron","Scott","Plant St.",""
"164",2020-12-07,"ConAgra","Russellville","Pope","",""
"165",2020-12-07,"ABB","Fort Smith","Sebastian","",""
"166",2020-12-07,"Tyson","Van Buren","Crawford","",""
"167",2020-12-07,"Tyson of Rogers","Rogers","Benton","Elm St.",""
"168",2020-12-07,"Tyson","Clarksville","Johnson","",""
"169",2020-12-07,"Tyson's Mexican Original","Fayetteville","Washington","",""
"170",2020-12-07,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"171",2020-12-07,"Frito Lay","Jonesboro","Craighead","",""
"172",2020-12-07,"Tyson","Russellville","Pope","Tyler Rd.",""
"173",2020-12-07,"Lockheed Martin","Camden","Ouachita","",""
"174",2020-12-07,"Tyson","Dardanelle","Yell","",""
"175",2020-12-07,"Wilson Combat Scattergun Tech","Berryville","Carroll","",""
"176",2020-12-07,"PotlatchDeltic","Warren","Bradley","",""
"177",2020-12-03,"Tyson","Green Forest","Carroll","",""
"178",2020-12-03,"ConAgra","Russellville","Pope","",""
"179",2020-12-03,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"180",2020-12-03,"Tenneco Inc.","Paragould","Greene","",""
"181",2020-12-03,"Tyson","Waldron","Scott","Plant St.",""
"182",2020-11-30,"ConAgra","Russellville","Pope","",""
"183",2020-11-30,"Tyson","Green Forest","Carroll","",""
"184",2020-11-30,"Tyson","Waldron","Scott","Plant St.",""
"185",2020-11-30,"Tyson","Berryville","Carroll","",""
"186",2020-11-30,"Butterball","Huntsville","Madison","",""
"187",2020-11-30,"Nucor-Yamato Steel","Blytheville","Mississippi","",""
"188",2020-11-30,"Butterball","Jonesboro","Craighead","",""
"189",2020-11-26,"ConAgra","Russellville","Pope","",""
"190",2020-11-26,"Tyson","Green Forest","Carroll","",""
"191",2020-11-26,"Tyson","Waldron","Scott","Plant St.",""
"192",2020-11-26,"Tyson","Van Buren","Crawford","",""
"193",2020-11-26,"Peco","Pocahontas","Randolph","",""
"194",2020-11-26,"Tyson","Berryville","Carroll","",""
"195",2020-11-26,"Rineco Chemical Industries","Haskell","Saline","",""
"196",2020-11-23,"ConAgra","Russellville","Pope","",""
"197",2020-11-23,"ABB","Fort Smith","Sebastian","",""
"198",2020-11-23,"Rineco Chemical Industries","Haskell","Saline","",""
"199",2020-11-23,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"200",2020-11-23,"Frito Lay","Jonesboro","Craighead","",""
"201",2020-11-23,"Maynard Inc.","Fayetteville","Washington","",""
"202",2020-11-19,"Tyson","Green Forest","Carroll","",""
"203",2020-11-19,"Tyson","Van Buren","Crawford","",""
"204",2020-11-19,"Simmons Foods","Siloam Springs","Benton","",""
"205",2020-11-19,"ABB","Fort Smith","Sebastian","",""
"206",2020-11-19,"ConAgra","Russellville","Pope","",""
"207",2020-11-19,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"208",2020-11-19,"Peco","Pocahontas","Randolph","",""
"209",2020-11-19,"Alma Tractor","Alma","Crawford","",""
"210",2020-11-16,"Hytrol Conveyor Company","Jonesboro","Craighead","","Manufacturing"
"211",2020-11-16,"Frito Lay","Jonesboro","Craighead","","Manufacturing"
"212",2020-11-16,"Nabholz","Conway","Faulkner","","Construction"
"213",2020-11-16,"Tyson","Waldron","Scott","","Manufacturing"
"214",2020-11-16,"Simmons Foods","Siloam Springs","Benton","","Manufacturing"
"215",2020-11-16,"Peco","Pocahontas","Randolph","","Manufacturing"
"216",2020-11-16,"Tyson","Van Buren","Randolph","","Manufacturing"
"217",2020-11-16,"Tyson","Green Forest","Carroll","","Manufacturing"
"218",2020-11-16,"Tyson","Van Buren","Crawford","","Manufacturing"
"219",2020-11-16,"Pilgrim's Pride","DeQueen","Sevier","","Manufacturing"
"220",2020-11-16,"ABB","Fort Smith","Sebastian","","Manufacturing"
"221",2020-11-12,"Tyson","Van Buren","Crawford","",""
"222",2020-11-12,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"223",2020-11-12,"Pilgrim's Pride","DeQueen","Sevier","",""
"224",2020-11-12,"Simmons Foods","Siloam Springs","Benton","",""
"225",2020-11-12,"Frito Lay","Jonesboro","Craighead","",""
"226",2020-11-12,"Tyson","Pine Bluff","Jefferson","",""
"227",2020-11-12,"Tyson","Waldron","Scott","Plant St.",""
"228",2020-11-12,"ABB","Fort Smith","Sebastian","",""
"229",2020-11-12,"Lockheed Martin","Camden","Ouachita","",""
"230",2020-11-09,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"231",2020-11-09,"Frito Lay","Jonesboro","Craighead","",""
"232",2020-11-09,"Tyson","Pine Bluff","Jefferson","",""
"233",2020-11-09,"Peco","Pocahontas","Randolph","",""
"234",2020-11-09,"ABB","Fort Smith","Sebastian","",""
"235",2020-11-09,"Tyson","Waldron","Scott","Plant St.",""
"236",2020-11-05,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"237",2020-11-05,"Pilgrim's Pride","DeQueen","Sevier","",""
"238",2020-11-05,"Peco","Pocahontas","Randolph","",""
"239",2020-11-05,"Tyson","Green Forest","Carroll","",""
"240",2020-11-05,"Tyson","Pine Bluff","Jefferson","",""
"241",2020-11-05,"Frito Lay","Jonesboro","Craighead","",""
"242",2020-11-05,"Tyson","Van Buren","Crawford","",""
"243",2020-11-05,"Nestle","Jonesboro","Craighead","",""
"244",2020-11-05,"Simmons Foods","Fort Smith","Sebastian","",""
"245",2020-11-05,"Roach Manufacturing","Trumann","Poinsett","",""
"246",2020-11-02,"Tyson","Pine Bluff","Jefferson","",""
"247",2020-11-02,"Peco","Pocahontas","Randolph","",""
"248",2020-11-02,"Tyson","Green Forest","Carroll","",""
"249",2020-11-02,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"250",2020-11-02,"Simmons Foods","Fort Smith","Sebastian","",""
"251",2020-11-02,"Tyson","Russellville","Pope","Tyler Rd.",""
"252",2020-11-02,"Frito Lay","Jonesboro","Craighead","",""
"253",2020-11-02,"Riceland Foods","Stuttgart","Arkansas","",""
"254",2020-11-02,"Roach Manufacturing","Trumann","Poinsett","",""
"255",2020-10-29,"Tyson","green Forest","Carroll","",""
"256",2020-10-29,"Roach Manufacturing","Trumann","Poinsett","",""
"257",2020-10-29,"Peco","Pocahontas","Randolph","",""
"258",2020-10-29,"Tyson","Waldron","Scott","Plant St.",""
"259",2020-10-29,"Tyson","Springdale","Washington","Berry St.",""
"260",2020-10-29,"Evergreen Packaging","Pine Bluff","Jefferson","",""
"261",2020-10-29,"Tyson","Pine Bluff","Jefferson","",""
"262",2020-10-29,"Tyson","Nashville","Howard","",""
"263",2020-10-29,"Riceland Foods","Stuttgart","Arkansas","",""
"264",2020-10-29,"Diamond Pet Foods","Dumas","Desha","",""
"265",2020-10-26,"Tyson","green Forest","Carroll","",""
"266",2020-10-26,"Evergreen Packaging","Pine Bluff","Jefferson","",""
"267",2020-10-26,"Peco","Pocahontas","Randolph","",""
"268",2020-10-26,"Riceland Foods","Stuttgart","Arkansas","",""
"269",2020-10-26,"Greenbrier Rail","Paragould","Greene","",""
"270",2020-10-26,"Tyson","Waldron","Scott","Plant St.",""
"271",2020-10-26,"Lennox Industries","Stuttgart","Arkansas","",""
"272",2020-10-26,"Diamond Pet Foods","Dumas","Desha","",""
"273",2020-10-22,"Tyson","Green Forest","Carroll","",""
"274",2020-10-22,"Riceland Foods","Stuttgart","Arkansas","",""
"275",2020-10-22,"Evergreen Packaging","Pine Bluff","Jefferson","",""
"276",2020-10-22,"Peco","Pocahontas","Randolph","",""
"277",2020-10-22,"Cooper Tire","Texarkana","Miller","",""
"278",2020-10-19,"Tyson","Green Forest","Carroll","",""
"279",2020-10-19,"Arkansas Glass Container","Jonesboro","Craighead","",""
"280",2020-10-19,"Tyson","Pine Bluff","Jefferson","",""
"281",2020-10-19,"Evergreen Packaging","Pine Bluff","Jefferson","",""
"282",2020-10-15,"Arkansas Glass Container","Jonesboro","Craighead","",""
"283",2020-10-15,"Tyson","Pine Bluff","Jefferson","",""
"284",2020-10-15,"Land O'Frost","Searcy","White","",""
"285",2020-10-15,"Big Rock KangaRoof","Little Rock","Pulaski","",""
"286",2020-10-15,"Tyson","Green Forest","Carroll","",""
"287",2020-10-15,"OK Foods","Fort Smith","Sebastian","",""
"288",2020-10-15,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"289",2020-10-15,"Lennox Industries","Stuttgart","Arkansas","",""
"290",2020-10-15,"Riceland Foods","Stuttgart","Arkansas","",""
"291",2020-10-12,"Vacation Tour and Travel","Conway","Faulkner","",""
"292",2020-10-12,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"293",2020-10-12,"Tyson","Pine Bluff","Jefferson","",""
"294",2020-10-12,"OK Foods","Fort Smith","Sebastian","",""
"295",2020-10-12,"Land O'Frost","Searcy","White","",""
"296",2020-10-12,"ConAgra","Russellville","Pope","",""
"297",2020-10-12,"Tyson","Green Forest","Carroll","",""
"298",2020-10-08,"Vacation Tour and Travel","Conway","Faulkner","",""
"299",2020-10-08,"OK Foods","Fort Smith","Sebastian","",""
"300",2020-10-08,"Tyson","Green Forest","Carroll","",""
"301",2020-10-08,"Dooley Agri","Colt","St. Francis","",""
"302",2020-10-08,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"303",2020-10-08,"ConAgra","Russellville","Pope","",""
"304",2020-10-08,"Tyson","Pine Bluff","Jefferson","",""
"305",2020-10-05,"Dooley Agri","Colt","St. Francis","",""
"306",2020-10-05,"Tyson","Berryville","Carroll","",""
"307",2020-10-05,"Vacation Tour and Travel","Conway","Faulkner","",""
"308",2020-10-05,"Tyson","Pine Bluff","Jefferson","",""
"309",2020-10-05,"ConAgra","Russellville","Pope","",""
"310",2020-10-05,"DENSO Manufacturing","Osceola","Mississippi","",""
"311",2020-10-01,"Dooley Agri","Colt","St. Francis","",""
"312",2020-10-01,"Pine Bluff Fire and Emergency","Pine Bluff","Jefferson","",""
"313",2020-10-01,"Tyson","Berryville","Carroll","",""
"314",2020-10-01,"Tyson","Pine Bluff","Jefferson","",""
"315",2020-10-01,"Lennox Industries","Stuttgart","Arkansas","",""
"316",2020-09-28,"Tyson","Pine Bluff","Jefferson","",""
"317",2020-09-28,"Lennox Industries","Stuttgart","Arkansas","",""
"318",2020-09-28,"Pine Bluff Fire and Emergency","Pine Bluff","Jefferson","",""
"319",2020-09-24,"Tyson","Pine Bluff","Jefferson","",""
"320",2020-09-24,"Tyson","Van Buren","Crawford","",""
"321",2020-09-24,"Tyson","Green Forest","Carroll","",""
"322",2020-09-24,"Peco","Pocahontas","Randolph","",""
"323",2020-09-24,"Hytrol Conveyor Company","Jonesboro","Craighead","",""
"324",2020-09-24,"Lennox Industries","Stuttgart","Arkansas","",""
"325",2020-09-17,"George's Poultry","Springdale","Washington","",""
"326",2020-09-17,"George's Poultry","Batesville","Independence","",""
"327",2020-09-17,"Tyson","Van Buren","Crawford","",""
"328",2020-09-17,"Tyson","Springdale","Washington","Berry St.",""
"329",2020-09-17,"Peco","Pocahontas","Randolph","",""
