Uniqueid,V2,date,company_name,city,county,number_active_cases,number_recovered_cases,total_number_of_cases,address,industry,cleaned_address,cleaned_city,cleaned_county,cleaned_company,year,month,yearmon
1,13,5/22/20,Belleville Boot,Forrest City,St. Francis,9,26,35,NA,NA,NA,forrest city,st. francis,belleville_boot,2020,May,2020-05
1,23,5/26/20,Belleville Boot,Forrest City,St. Francis,6,29,35,NA,NA,NA,forrest city,st. francis,belleville_boot,2020,May,2020-05
1,1,5/19/20,Belleville Boot Company,Forrest City,St. Francis,29,6,35,NA,NA,NA,forrest city,st. francis,belleville_boot,2020,May,2020-05
2,18,5/26/20,Nebo Poultry,Dardanelle,Yell,57,6,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,May,2020-05
2,28,5/29/20,Nebo Poultry,Dardanelle,Yell,39,23,62,NA,NA,NA,dardanelle,yell,nebo poultry,2020,May,2020-05
2,37,6/2/20,Nebo Poultry,Dardanelle,Yell,19,44,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jun,2020-06
2,53,6/5/20,Nebo Poultry,Dardanelle,Yell,13,50,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jun,2020-06
2,76,6/8/20,Nebo Poultry,Dardanelle,Yell,8,55,63,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jun,2020-06
2,183,7/3/20,Nebo Poultry,Dardanelle,Yell,11,55,66,NA,NA,NA,dardanelle,yell,nebo poultry,2020,Jul,2020-07
3,4,5/19/20,Best Manufacturing,Jonesboro,Craighead,9,0,9,NA,NA,NA,jonesboro,craighead,best manufacturing,2020,May,2020-05
3,15,5/22/20,Best Manufacturing,Jonesboro,Craighead,7,5,12,NA,NA,NA,jonesboro,craighead,best manufacturing,2020,May,2020-05
3,24,5/26/20,Best Manufacturing,Jonesboro,Craighead,6,6,12,NA,NA,NA,jonesboro,craighead,best manufacturing,2020,May,2020-05
4,5,5/19/20,"Riceland Foods, Inc.",Jonesboro,Craighead,7,2,9,NA,NA,NA,jonesboro,craighead,riceland_foods,2020,May,2020-05
5,490,10/15/20,Riceland Foods,Stuttgart,Arkansas,5,26,31,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,496,10/22/20,Riceland Foods,Stuggart,Arkansas,7,29,36,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,503,10/26/20,Riceland Foods,Stuttgart,Arkansas,6,30,36,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,516,10/29/20,Riceland Foods,Stuttgart,Arkansas,5,34,39,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Oct,2020-10
5,525,11/2/20,Riceland Foods,Stuttgart,Arkansas,5,35,40,NA,Manufacturing,NA,stuttgart,arkansas,riceland_foods,2020,Nov,2020-11
6,780,2/4/21,Riceland Foods,Ft Smith,Sebastian,5,26,31,NA,Other Services,NA,fort_smith,sebastian,riceland_foods,2021,Feb,2021-02
7,6,5/19/20,Pilgrim's Pride,De Queen,Sevier,6,1,7,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,May,2020-05
7,26,5/29/20,Pilgrim's Pride,De Queen,Sevier,46,13,59,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,May,2020-05
7,34,6/2/20,Pilgrim's Pride,De Queen,Sevier,53,34,87,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,47,6/5/20,Pilgrim's Pride,De Queen,Sevier,63,48,111,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,65,6/8/20,Pilgrim's Pride,De Queen,Sevier,67,65,132,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,89,6/14/20,Pilgrim's Pride,De Queen,Sevier,38,119,157,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,110,6/18/20,Pilgrim's Pride,De Queen,Sevier,30,143,173,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,128,6/21/20,Pilgrim's Pride,De Queen,Sevier,36,156,192,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,149,6/25/20,Pilgrim's Pride,De Queen,Sevier,36,174,210,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jun,2020-06
7,173,7/3/20,Pilgrim's Pride,De Queen,Sevier,28,196,224,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,201,7/6/20,Pilgrim's Pride,De Queen,Sevier,19,204,223,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,220,7/13/20,Pilgrim's Pride,De Queen,Sevier,14,222,236,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,235,7/20/20,Pilgrim's Pride,De Queen,Sevier,13,230,243,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,259,7/24/20,Pilgrim's Pride,De Queen,Sevier,9,236,245,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,273,7/27/20,Pilgrim's Pride,De Queen,Sevier,11,242,253,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,293,7/31/20,Pilgrim's Pride,De Queen,Sevier,8,247,255,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Jul,2020-07
7,317,8/3/20,Pilgrim's Pride,De Queen,Sevier,7,250,257,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Aug,2020-08
7,375,8/13/20,Pilgrim's Pride,De Queen,Sevier,5,254,259,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,Aug,2020-08
7,528,11/5/20,Pilgrim's Pride,De Queen,Sevier,7,268,275,NA,Manufacturing,NA,de queen,sevier,pilgrims_pride,2020,Nov,2020-11
7,545,11/12/20,Pilgrim's Pride,De Queen,Sevier,7,276,283,NA,Manufacturing,NA,de queen,sevier,pilgrims_pride,2020,Nov,2020-11
7,560,11/16/20,Pilgrim's Pride,De Queen,Sevier,5,278,283,NA,Manufacturing,NA,de queen,sevier,pilgrims_pride,2020,Nov,2020-11
7,10,5/22/20,Pilgrim's Pride Poultry,De Queen,Sevier,18,2,20,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,May,2020-05
7,20,5/26/20,Pilgrim's Pride Poultry,De Queen,Sevier,37,4,41,NA,NA,NA,de queen,sevier,pilgrims_pride,2020,May,2020-05
8,7,5/19/20,Frito Lay,Jonesboro,Craighead,6,4,10,NA,NA,NA,jonesboro,craighead,frito lay,2020,May,2020-05
8,266,7/24/20,Frito Lay,Jonesboro,Craighead,5,18,23,NA,NA,NA,jonesboro,craighead,frito lay,2020,Jul,2020-07
8,303,7/31/20,Frito Lay,Jonesboro,Craighead,7,18,25,NA,NA,NA,jonesboro,craighead,frito lay,2020,Jul,2020-07
8,325,8/3/20,Frito Lay,Jonesboro,Craighead,7,23,30,NA,NA,NA,jonesboro,craighead,frito lay,2020,Aug,2020-08
8,379,8/13/20,Frito Lay,Jonesboro,Craighead,8,30,38,NA,NA,NA,jonesboro,craighead,frito lay,2020,Aug,2020-08
8,383,8/17/20,Frito Lay,Jonesboro,Craighead,6,34,40,NA,NA,NA,jonesboro,craighead,frito lay,2020,Aug,2020-08
8,524,11/2/20,Frito Lay,Jonesboro,Craighead,5,60,65,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,532,11/5/20,Frito Lay,Jonesboro,Craighead,6,61,67,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,538,11/9/20,Frito Lay,Jonesboro,Craighead,8,64,72,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,547,11/12/20,Frito Lay,Jonesboro,Craighead,7,68,75,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,553,11/16/20,Frito Lay,Jonesboro,Craighead,7,69,76,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,574,11/23/20,Frito Lay,Jonesboro,Craighead,5,76,81,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Nov,2020-11
8,604,12/7/20,Frito Lay,Jonesboro,Craighead,7,91,98,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,630,12/14/20,Frito Lay,Jonesboro,Craighead,8,95,103,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,646,12/17/20,Frito Lay,Jonesboro,Craighead,12,92,104,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,662,12/21/20,Frito Lay,Jonesboro,Craighead,8,107,115,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,680,12/24/20,Frito Lay,Jonesboro,Craighead,8,108,116,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2020,Dec,2020-12
8,704,1/7/21,Frito Lay,Jonesboro,Craighead,9,117,126,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2021,Jan,2021-01
8,716,1/11/21,Frito Lay,Jonesboro,Craighead,7,121,128,NA,Manufacturing,NA,jonesboro,craighead,frito lay,2021,Jan,2021-01
9,17,5/22/20,Saracen Casino Construction,Pine Bluff,Jefferson,5,51,56,NA,NA,NA,pine_bluff,jefferson,saracen_casino_construction,2020,May,2020-05
9,8,5/19/20,"Saracen Casino Construction Site, multiple contracted businesses",Pine Bluff,Jefferson,5,51,56,NA,NA,NA,pine_bluff,jefferson,saracen_casino_construction,2020,May,2020-05
10,25,5/29/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,86,6,92,NA,NA,NA,rogers,benton,georges_poultry,2020,May,2020-05
10,33,6/2/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,114,27,141,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,46,6/5/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,118,48,166,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,64,6/8/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,105,76,181,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,87,6/14/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,63,161,224,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,107,6/18/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,55,186,241,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,126,6/21/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,53,204,257,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,151,6/25/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,32,236,268,NA,NA,NA,rogers,benton,georges_poultry,2020,Jun,2020-06
10,171,7/3/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,32,241,273,NA,NA,NA,rogers,benton,georges_poultry,2020,Jul,2020-07
10,200,7/6/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,20,256,276,NA,NA,NA,rogers,benton,georges_poultry,2020,Jul,2020-07
10,221,7/13/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,13,264,277,NA,NA,NA,rogers,benton,georges_poultry,2020,Jul,2020-07
10,237,7/20/20,George's/Ozark Mtn. Poultry (OMP),Rogers,Benton,12,266,278,NA,NA,NA,rogers,benton,georges_poultry,2020,Jul,2020-07
10,11,5/22/20,Ozark Mountain Poultry,Rogers,Benton,16,1,17,NA,NA,NA,rogers,benton,georges_poultry,2020,May,2020-05
10,19,5/26/20,Ozark Mountain Poultry (OMP)/Georgeâ€™s,Rogers,Benton,46,2,48,NA,NA,NA,rogers,benton,georges_poultry,2020,May,2020-05
11,16,5/22/20,George's Poultry,Springdale,Washington,5,2,7,NA,NA,NA,springdale,washington,georges_poultry,2020,May,2020-05
11,38,6/2/20,George's Poultry,Springdale,Washington,14,1,15,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,50,6/5/20,George's Poultry,Springdale,Washington,21,4,25,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,68,6/8/20,George's Poultry,Springdale,Washington,26,6,32,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,90,6/14/20,George's Poultry,Springdale,Washington,26,26,52,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,108,6/18/20,George's Poultry,Springdale,Washington,39,41,80,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,127,6/21/20,George's Poultry,Springdale,Washington,40,54,94,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,148,6/25/20,George's Poultry,Springdale,Washington,38,82,120,NA,NA,NA,springdale,washington,georges_poultry,2020,Jun,2020-06
11,174,7/3/20,George's Poultry,Springdale,Washington,28,122,150,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,197,7/6/20,George's Poultry,Springdale,Washington,23,139,162,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,224,7/13/20,George's Poultry,Springdale,Washington,11,175,186,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,236,7/20/20,George's Poultry,Springdale,Washington,13,199,212,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,257,7/24/20,George's Poultry,Springdale,Washington,10,222,232,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,277,7/27/20,George's Poultry,Springdale,Washington,7,231,238,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,292,7/31/20,George's Poultry,Springdale,Washington,9,237,246,NA,NA,NA,springdale,washington,georges_poultry,2020,Jul,2020-07
11,312,8/3/20,George's Poultry,Springdale,Washington,9,238,247,NA,NA,NA,springdale,washington,georges_poultry,2020,Aug,2020-08
11,342,8/7/20,George's Poultry,Springdale,Washington,5,253,258,NA,NA,NA,springdale,washington,georges_poultry,2020,Aug,2020-08
11,420,9/7/20,George's Poultry,Springdale,Washington,5,275,280,NA,NA,NA,springdale,washington,georges_poultry,2020,Sep,2020-09
11,428,9/9/20,George's Poultry,Springdale,Washington,8,274,282,NA,NA,NA,springdale,washington,georges_poultry,2020,Sep,2020-09
11,436,9/14/20,George's Poultry,Springdale,Washington,10,277,287,NA,NA,NA,springdale,washington,georges_poultry,2020,Sep,2020-09
11,443,9/17/20,George's Poultry,Springdale,Washington,12,278,290,NA,Manufacturing,NA,springdale,washington,georges_poultry,2020,Sep,2020-09
12,296,7/31/20,George's Poultry,Batesville,Independence,6,4,10,NA,NA,NA,batesville,independence,georges_poultry,2020,Jul,2020-07
12,322,8/3/20,George's Poultry,Batesville,Independence,6,4,10,NA,NA,NA,batesville,independence,georges_poultry,2020,Aug,2020-08
12,359,8/10/20,George's Poultry,Batesville,Independence,6,8,14,NA,NA,NA,batesville,independence,georges_poultry,2020,Aug,2020-08
12,376,8/13/20,George's Poultry,Batesville,Independence,5,14,19,NA,NA,NA,batesville,independence,georges_poultry,2020,Aug,2020-08
12,444,9/17/20,George's Poultry,Batesville,Independence,7,35,42,NA,Manufacturing,NA,batesville,independence,georges_poultry,2020,Sep,2020-09
13,12,5/22/20,Cargill Poultry,Springdale,Washington,9,1,10,NA,NA,NA,springdale,washington,cargill poultry,2020,May,2020-05
13,21,5/26/20,Cargill Poultry,Springdale,Washington,24,1,25,NA,NA,NA,springdale,washington,cargill poultry,2020,May,2020-05
13,27,5/29/20,Cargill Poultry,Springdale,Washington,43,1,44,NA,NA,NA,springdale,washington,cargill poultry,2020,May,2020-05
13,35,6/2/20,Cargill Poultry,Springdale,Washington,48,17,65,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,48,6/5/20,Cargill Poultry,Springdale,Washington,52,28,80,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,67,6/8/20,Cargill Poultry,Springdale,Washington,45,44,89,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,94,6/14/20,Cargill Poultry,Springdale,Washington,21,100,121,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,114,6/18/20,Cargill Poultry,Springdale,Washington,13,114,127,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,132,6/21/20,Cargill Poultry,Springdale,Washington,19,126,145,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,157,6/25/20,Cargill Poultry,Springdale,Washington,15,141,156,NA,NA,NA,springdale,washington,cargill poultry,2020,Jun,2020-06
13,180,7/3/20,Cargill Poultry,Springdale,Washington,13,156,169,NA,NA,NA,springdale,washington,cargill poultry,2020,Jul,2020-07
13,207,7/6/20,Cargill Poultry,Springdale,Washington,9,161,170,NA,NA,NA,springdale,washington,cargill poultry,2020,Jul,2020-07
13,227,7/13/20,Cargill Poultry,Springdale,Washington,7,174,181,NA,NA,NA,springdale,washington,cargill poultry,2020,Jul,2020-07
13,240,7/20/20,Cargill Poultry,Springdale,Washington,7,186,193,NA,NA,NA,springdale,washington,cargill poultry,2020,Jul,2020-07
13,297,7/31/20,Cargill Poultry,Springdale,Washington,5,203,208,NA,NA,NA,springdale,washington,cargill poultry,2020,Jul,2020-07
13,439,9/14/20,Cargill Poultry,Springdale,Washington,5,219,224,NA,NA,NA,springdale,washington,cargill poultry,2020,Sep,2020-09
14,14,5/22/20,Butterball,Hunstville,Madison,7,0,7,NA,NA,NA,huntsville,madison,butterball,2020,May,2020-05
14,22,5/26/20,Butterball,Huntsville,Madison,7,1,8,NA,NA,NA,huntsville,madison,butterball,2020,May,2020-05
14,30,5/29/20,Butterball,Huntsville,Madison,5,5,10,NA,NA,NA,huntsville,madison,butterball,2020,May,2020-05
14,36,6/2/20,Butterball,Huntsville,Madison,30,9,39,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,49,6/5/20,Butterball,Huntsville,Madison,40,8,48,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,66,6/8/20,Butterball,Huntsville,Madison,54,13,67,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,88,6/14/20,Butterball,Huntsville,Madison,43,49,92,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,109,6/18/20,Butterball,Huntsville,Madison,34,77,111,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,129,6/21/20,Butterball,Huntsville,Madison,36,83,119,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,150,6/25/20,Butterball,Huntsville,Madison,33,105,138,NA,NA,NA,huntsville,madison,butterball,2020,Jun,2020-06
14,175,7/3/20,Butterball,Huntsville,Madison,23,123,146,NA,NA,NA,huntsville,madison,butterball,2020,Jul,2020-07
14,203,7/6/20,Butterball,Huntsville,Madison,15,131,146,NA,NA,NA,huntsville,madison,butterball,2020,Jul,2020-07
14,226,7/13/20,Butterball,Huntsville,Madison,8,143,151,NA,NA,NA,huntsville,madison,butterball,2020,Jul,2020-07
14,246,7/20/20,Butterball,Huntsville,Madison,5,151,156,NA,NA,NA,huntsville,madison,butterball,2020,Jul,2020-07
14,587,11/30/20,Butterball,Huntsville,Madison,5,163,168,NA,Manufacturing,NA,huntsville,madison,butterball,2020,Nov,2020-11
15,29,5/29/20,Tyson,Dardanelle,Yell,7,2,9,NA,NA,NA,dardanelle,yell,tyson,2020,May,2020-05
15,40,6/2/20,Tyson,Dardanelle,Yell,9,5,14,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,56,6/5/20,Tyson,Dardanelle,Yell,11,6,17,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,73,6/8/20,Tyson,Dardanelle,Yell,12,8,20,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,96,6/14/20,Tyson,Dardanelle,Yell,14,16,30,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,121,6/18/20,Tyson,Dardanelle,Yell,7,24,31,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,135,6/21/20,Tyson,Dardanelle,Yell,12,27,39,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,160,6/25/20,Tyson,Dardanelle,Yell,11,34,45,NA,NA,NA,dardanelle,yell,tyson,2020,Jun,2020-06
15,179,7/3/20,Tyson,Dardanelle,Yell,18,41,59,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,204,7/6/20,Tyson,Dardanelle,Yell,14,42,56,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,223,7/13/20,Tyson,Dardanelle,Yell,13,53,66,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,238,7/20/20,Tyson,Dardanelle,Yell,9,63,72,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,263,7/24/20,Tyson,Dardanelle,Yell,7,70,77,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,279,7/27/20,Tyson,Dardanelle,Yell,6,72,78,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,294,7/31/20,Tyson,Dardanelle,Yell,8,72,80,NA,NA,NA,dardanelle,yell,tyson,2020,Jul,2020-07
15,318,8/3/20,Tyson,Dardanelle,Yell,7,73,80,NA,NA,NA,dardanelle,yell,tyson,2020,Aug,2020-08
15,339,8/7/20,Tyson,Dardanelle,Yell,6,78,84,NA,NA,NA,dardanelle,yell,tyson,2020,Aug,2020-08
15,357,8/10/20,Tyson,Dardanelle,Yell,6,79,85,NA,NA,NA,dardanelle,yell,tyson,2020,Aug,2020-08
15,607,12/7/20,Tyson,Dardanelle,Yell,5,105,110,NA,Manufacturing,NA,dardanelle,yell,tyson,2020,Dec,2020-12
15,616,12/10/20,Tyson,Dardanelle,Yell,7,105,112,NA,Manufacturing,NA,dardanelle,yell,tyson,2020,Dec,2020-12
15,624,12/14/20,Tyson,Dardanelle,Yell,13,109,122,NA,Manufacturing,NA,dardanelle,yell,tyson,2020,Dec,2020-12
15,649,12/17/20,Tyson,Dardanelle,Yell,7,115,122,NA,Manufacturing,NA,dardanelle,yell,tyson,2020,Dec,2020-12
15,670,12/21/20,Tyson,Dardanelle,Yell,5,125,130,NA,Manufacturing,NA,dardanelle,yell,tyson,2020,Dec,2020-12
15,676,12/24/20,Tyson,Dardanelle,Yell,9,127,136,NA,Manufacturing,NA,dardanelle,yell,tyson,2020,Dec,2020-12
15,720,1/11/21,Tyson,Dardanelle,Yell,6,141,147,NA,Manufacturing,NA,dardanelle,yell,tyson,2021,Jan,2021-01
15,730,1/14/21,Tyson,Dardanelle,Yell,6,149,155,NA,Manufacturing,NA,dardanelle,yell,tyson,2021,Jan,2021-01
15,749,1/18/21,Tyson,Dardanelle,Yell,9,151,160,NA,Manufacturing,NA,dardanelle,yell,tyson,2021,Jan,2021-01
15,758,1/21/21,Tyson,Dardanelle,Yell,6,154,160,NA,Manufacturing,NA,dardanelle,yell,tyson,2021,Jan,2021-01
15,766,1/25/21,Tyson,Dardanelle,Yell,8,158,166,NA,Manufacturing,NA,dardanelle,yell,tyson,2021,Jan,2021-01
